run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260330_091514,1,1.043257,1.004684,0.69475,0.69475,0.0009996145
20260330_091514,2,0.857319,0.880755,0.72725,0.72725,0.0009984587
20260330_091514,3,0.745565,0.893051,0.71875,0.72725,0.0009965343
20260330_091514,4,0.62457,0.897642,0.725,0.72725,0.0009938442
20260330_091514,5,0.519144,0.984709,0.7095,0.72725,0.0009903927
20260330_091514,6,0.420298,1.073994,0.71475,0.72725,0.0009861851
20260330_091514,7,0.332438,1.128181,0.70425,0.72725,0.0009812278
