run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260330_114302,1,1.177149,0.961933,0.70075,0.70075,0.0009999036
20260330_114302,2,0.884933,0.948448,0.7215,0.7215,0.0009996146
20260330_114302,3,0.766186,0.875642,0.74325,0.74325,0.0009991329
20260330_114302,4,0.63608,0.998789,0.715,0.74325,0.0009984588
20260330_114302,5,0.518835,1.032261,0.711,0.74325,0.0009975926
20260330_114302,6,0.413786,1.018207,0.7345,0.74325,0.0009965346
20260330_114302,7,0.325655,1.13699,0.72975,0.74325,0.0009952851
20260330_114302,8,0.251445,1.298056,0.724,0.74325,0.0009938448
