run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260414_223330,1,1.5980104837566613,1.239446146786213,0.58125,0.58125,0.0004945478263830845
20260414_223330,2,1.1216172699350864,1.1250037733465432,0.6140625,0.6140625,0.00047842959168182885
20260414_223330,3,0.912273784854915,1.1520238377153873,0.59140625,0.6140625,0.00045234974009654937
20260414_223330,4,0.8076181874144822,0.8712818592786788,0.6953125,0.6953125,0.0004174480862865351
20260414_223330,5,0.6749368320801296,0.8883975049480796,0.7046875,0.7046875,0.00037525
20260414_223330,6,0.5502613247721456,0.698997169919312,0.7765625,0.7765625,0.0003275997400965494
20260414_223330,7,0.44813045786577277,0.7002004797570407,0.7765625,0.7765625,0.00027657985158527956
20260414_223330,8,0.37244899414217797,0.8705850846134127,0.740625,0.7765625,0.00022442014841472048
20260414_223330,9,0.283893679402172,0.721056314301677,0.79609375,0.79609375,0.00017340025990345064
20260414_223330,10,0.22094624604105775,0.7451543708331883,0.7875,0.79609375,0.00012575000000000005
20260414_223330,11,0.16493850676215516,0.722056602651719,0.80390625,0.80390625,8.355191371346494e-05
20260414_223330,12,0.11779566240020359,0.7904010368743911,0.7890625,0.80390625,4.8650259903450626e-05
20260414_223330,13,0.08011324206599965,0.7723137717577628,0.8171875,0.8171875,2.2570408318171052e-05
20260414_223330,14,0.055257888278447354,0.7604211793863215,0.809375,0.8171875,6.45217361691548e-06
20260414_223330,15,0.047452416321084455,0.7833040719153359,0.8109375,0.8171875,1e-06
