run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260331_083604,1,2.046773,2.050334,0.157031,0.157031,0.0004998766
20260331_083604,2,1.988861,1.980816,0.228906,0.228906,0.0004995067
20260331_083604,3,1.959747,1.996888,0.225781,0.228906,0.0004988905
20260331_083604,4,1.910466,1.873614,0.277344,0.277344,0.0004980287
20260331_083604,5,1.811392,1.770304,0.321094,0.321094,0.0004969221
20260331_083604,6,1.774463,1.742348,0.325781,0.325781,0.0004955719
20260331_083604,7,1.746168,1.697198,0.351562,0.351562,0.0004939793
20260331_083604,8,1.72512,1.719452,0.339844,0.351562,0.0004921459
20260331_083604,9,1.713555,1.671186,0.378906,0.378906,0.0004900736
20260331_083604,10,1.684818,1.662054,0.378906,0.378906,0.0004877644
20260331_083604,11,1.686652,1.69935,0.360156,0.378906,0.0004852205
20260331_083604,12,1.674618,1.654882,0.382812,0.382812,0.0004824445
20260331_083604,13,1.649391,1.604278,0.396094,0.396094,0.0004794391
20260331_083604,14,1.639835,1.726286,0.35,0.396094,0.0004762072
20260331_083604,15,1.608135,1.776795,0.333594,0.396094,0.0004727522
20260331_083604,16,1.606974,1.541242,0.425781,0.425781,0.0004690773
20260331_083604,17,1.563656,1.593217,0.421875,0.425781,0.0004651862
20260331_083604,18,1.579615,1.673331,0.382031,0.425781,0.0004610828
20260331_083604,19,1.541626,1.588184,0.4375,0.4375,0.000456771
20260331_083604,20,1.526885,1.485763,0.466406,0.466406,0.0004522552
20260331_083604,21,1.52138,1.493108,0.460156,0.466406,0.0004475398
20260331_083604,22,1.523526,1.575618,0.435937,0.466406,0.0004426295
20260331_083604,23,1.486441,1.491452,0.465625,0.466406,0.000437529
20260331_083604,24,1.490479,1.464077,0.461719,0.466406,0.0004322435
20260331_083604,25,1.472236,1.433876,0.488281,0.488281,0.0004267782
20260331_083604,26,1.458331,1.505512,0.464844,0.488281,0.0004211384
20260331_083604,27,1.455061,1.49081,0.466406,0.488281,0.0004153297
20260331_083604,28,1.440148,1.495734,0.466406,0.488281,0.0004093578
20260331_083604,29,1.450025,1.469247,0.465625,0.488281,0.0004032287
20260331_083604,30,1.40554,1.421919,0.49375,0.49375,0.0003969484
20260331_083604,31,1.419572,1.429385,0.496875,0.496875,0.000390523
20260331_083604,32,1.406396,1.391605,0.524219,0.524219,0.000383959
20260331_083604,33,1.398352,1.402138,0.510156,0.524219,0.0003772628
20260331_083604,34,1.369445,1.404468,0.503906,0.524219,0.000370441
20260331_083604,35,1.3823,1.406799,0.511719,0.524219,0.0003635004
20260331_083604,36,1.351891,1.390345,0.515625,0.524219,0.0003564477
20260331_083604,37,1.359094,1.37959,0.499219,0.524219,0.00034929
20260331_083604,38,1.350362,1.356506,0.519531,0.524219,0.0003420343
20260331_083604,39,1.331498,1.374124,0.529687,0.529687,0.0003346878
20260331_083604,40,1.327581,1.350271,0.528906,0.529687,0.0003272577
20260331_083604,41,1.323523,1.35041,0.528906,0.529687,0.0003197514
20260331_083604,42,1.307386,1.333437,0.546875,0.546875,0.0003121762
20260331_083604,43,1.297327,1.381555,0.528906,0.546875,0.0003045397
20260331_083604,44,1.305733,1.362577,0.517188,0.546875,0.0002968494
20260331_083604,45,1.286677,1.321118,0.533594,0.546875,0.0002891128
20260331_083604,46,1.264354,1.339661,0.532031,0.546875,0.0002813377
20260331_083604,47,1.259616,1.30166,0.546875,0.546875,0.0002735316
20260331_083604,48,1.25329,1.329075,0.536719,0.546875,0.0002657023
20260331_083604,49,1.254898,1.324925,0.535937,0.546875,0.0002578575
20260331_083604,50,1.241011,1.3934,0.523438,0.546875,0.000250005
